traditional,simplified,referenced-traditional,referenced-simplified,pinyin-numeric,pinyin-diacritic,definitions,definitions-diacritic
夢,梦,夢,梦,meng4,mèng,"dream/CL:場|场[chang2],個|个[ge4]","dream/CL:場|场[cháng],個|个[gè]"
大,大,大,大,da4,dà,big/huge/large/major/great/wide/deep/older (than)/oldest/eldest/greatly/very much/(dialect) father/father's elder or younger brother,big/huge/large/major/great/wide/deep/older (than)/oldest/eldest/greatly/very much/(dialect) father/father's elder or younger brother
大,大,大,大,dai4,dài,see 大夫[dai4 fu5],see 大夫[dài fu]
天,天,天,天,tian1,tiān,day/sky/heaven,day/sky/heaven
奮,奋,奮,奋,fen4,fèn,to exert oneself (bound form),to exert oneself (bound form)
女,女,女,女,nü3,nu:3,female/woman/daughter,female/woman/daughter
女,女,女,女,ru3,rǔ,archaic variant of 汝[ru3],archaic variant of 汝[rǔ]
奸,奸,奸,奸,jian1,jiān,wicked/crafty/traitor/variant of 姦|奸[jian1],wicked/crafty/traitor/variant of 姦|奸[jiān]
好,好,好,好,hao3,hǎo,good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness)/(of two people) close/on intimate terms/(after a personal pronoun) hello,good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness)/(of two people) close/on intimate terms/(after a personal pronoun) hello
好,好,好,好,hao4,hào,to be fond of/to have a tendency to/to be prone to,to be fond of/to have a tendency to/to be prone to
如,如,如,如,ru2,rú,as/as if/such as,as/as if/such as
妃,妃,妃,妃,fei1,fēi,imperial concubine,imperial concubine
妄,妄,妄,妄,wang4,wàng,absurd/fantastic/presumptuous/rash,absurd/fantastic/presumptuous/rash
妙,妙,妙,妙,miao4,miào,clever/wonderful,clever/wonderful
妾,妾,妾,妾,qie4,qiè,"concubine/I, your servant (deprecatory self-reference for women)","concubine/I, your servant (deprecatory self-reference for women)"
始,始,始,始,shi3,shǐ,to begin/to start/then/only then,to begin/to start/then/only then
姦,奸,姦,奸,jian1,jiān,to fornicate/to defile/adultery/rape,to fornicate/to defile/adultery/rape
姬,姬,姬,姬,Ji1,Jī,surname Ji/family name of the Zhou Dynasty 周代[Zhou1 dai4] (1046-256 BC),surname Ji/family name of the Zhou Dynasty 周代[Zhōu dài] (1046-256 BC)
姬,姬,姬,姬,ji1,jī,woman/concubine/female entertainer (archaic),woman/concubine/female entertainer (archaic)
姿,姿,姿,姿,zi1,zī,beauty/disposition/looks/appearance,beauty/disposition/looks/appearance
婕,婕,婕,婕,jie2,jié,handsome,handsome
嬖,嬖,嬖,嬖,bi4,bì,(treat as a) favorite,(treat as a) favorite
嬰,婴,嬰,婴,ying1,yīng,infant/baby,infant/baby
子,子,子,子,zi3,zǐ,"son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat/Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]/ancient Chinese compass point: 0° (north)","son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat/Viscount, fourth of five orders of nobility 五等爵位[wǔ děng jué wèi]/ancient Chinese compass point: 0° (north)"
子,子,子,子,zi5,zi,(noun suffix),(noun suffix)
孜,孜,孜,孜,zi1,zī,hard-working/industrious,hard-working/industrious
孝,孝,孝,孝,xiao4,xiào,filial piety or obedience/mourning apparel,filial piety or obedience/mourning apparel
孟,孟,孟,孟,Meng4,Mèng,surname Meng,surname Meng
孟,孟,孟,孟,meng4,mèng,first month of a season/eldest amongst brothers,first month of a season/eldest amongst brothers
孤,孤,孤,孤,gu1,gū,lone/lonely,lone/lonely
孼,孽,孼,孽,nie4,niè,variant of 孽[nie4],variant of 孽[niè]
孽,孽,孽,孽,nie4,niè,son born of a concubine/disaster/sin/evil,son born of a concubine/disaster/sin/evil
宣,宣,宣,宣,Xuan1,Xuān,surname Xuan,surname Xuan
宣,宣,宣,宣,xuan1,xuān,to declare (publicly)/to announce,to declare (publicly)/to announce
宮,宫,宮,宫,Gong1,Gōng,surname Gong,surname Gong
宮,宫,宮,宫,gong1,gōng,palace/temple/castration (as corporal punishment)/first note in pentatonic scale,palace/temple/castration (as corporal punishment)/first note in pentatonic scale
害,害,害,害,hai4,hài,to do harm to/to cause trouble to/harm/evil/calamity,to do harm to/to cause trouble to/harm/evil/calamity
家,家,家,家,Jia1,Jiā,surname Jia,surname Jia
家,家,家,家,jia1,jiā,"home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]","home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[gè]"
容,容,容,容,Rong2,Róng,surname Rong,surname Rong
容,容,容,容,rong2,róng,to hold/to contain/to allow/to tolerate/appearance/look/countenance,to hold/to contain/to allow/to tolerate/appearance/look/countenance
寃,冤,寃,冤,yuan1,yuān,old variant of 冤[yuan1],old variant of 冤[yuān]
寄,寄,寄,寄,ji4,jì,to send/to mail/to entrust/to depend on/to attach oneself to/to live (in a house)/to lodge/foster (son etc),to send/to mail/to entrust/to depend on/to attach oneself to/to live (in a house)/to lodge/foster (son etc)
寒,寒,寒,寒,han2,hán,cold/poor/to tremble,cold/poor/to tremble
寕,宁,寕,宁,ning4,nìng,old variant of 寧|宁[ning4],old variant of 寧|宁[nìng]
察,察,察,察,Cha2,Chá,short name for Chahar Province 察哈爾|察哈尔[Cha2 ha1 er3],short name for Chahar Province 察哈爾|察哈尔[Chá hā ěr]
察,察,察,察,cha2,chá,to examine/to inquire/to observe/to inspect/to look into/obvious/clearly evident,to examine/to inquire/to observe/to inspect/to look into/obvious/clearly evident
實,实,實,实,shi2,shí,real/true/honest/really/solid/fruit/seed/definitely,real/true/honest/really/solid/fruit/seed/definitely
寧,宁,寧,宁,Ning2,Níng,abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區|宁夏回族自治区[Ning2 xia4 Hui2 zu2 Zi4 zhi4 qu1]/abbr. for Nanjing 南京[Nan2 jing1]/surname Ning,abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區|宁夏回族自治区[Níng xià Huí zú Zì zhì qū]/abbr. for Nanjing 南京[Nán jīng]/surname Ning
寧,宁,寧,宁,ning2,níng,peaceful/to pacify/to visit (one's parents etc),peaceful/to pacify/to visit (one's parents etc)
寧,宁,寧,宁,ning4,nìng,would rather/to prefer/how (emphatic)/Taiwan pr. [ning2],would rather/to prefer/how (emphatic)/Taiwan pr. [níng]
將,将,將,将,jiang1,jiāng,"will/shall/to use/to take/to checkmate/just a short while ago/(introduces object of main verb, used in the same way as 把[ba3])","will/shall/to use/to take/to checkmate/just a short while ago/(introduces object of main verb, used in the same way as 把[bǎ])"
將,将,將,将,jiang4,jiàng,general/commander-in-chief (military)/king (chess piece)/to command/to lead,general/commander-in-chief (military)/king (chess piece)/to command/to lead
將,将,將,将,qiang1,qiāng,to desire/to invite/to request,to desire/to invite/to request
專,专,專,专,zhuan1,zhuān,"for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized","for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized"
尋,寻,尋,寻,xun2,xún,to search/to look for/to seek,to search/to look for/to seek
少,少,少,少,shao3,shǎo,few/less/to lack/to be missing/to stop (doing sth)/seldom,few/less/to lack/to be missing/to stop (doing sth)/seldom
少,少,少,少,shao4,shào,young,young
居,居,居,居,Ju1,Jū,surname Ju,surname Ju
居,居,居,居,ji1,jī,(archaic) sentence-final particle expressing a doubting attitude,(archaic) sentence-final particle expressing a doubting attitude
居,居,居,居,ju1,jū,to reside/to be (in a certain position)/to store up/to be at a standstill/residence/house/restaurant/classifier for bedrooms,to reside/to be (in a certain position)/to store up/to be at a standstill/residence/house/restaurant/classifier for bedrooms
山,山,山,山,Shan1,Shān,surname Shan,surname Shan
山,山,山,山,shan1,shān,mountain/hill/anything that resembles a mountain/CL:座[zuo4]/bundled straw in which silkworms spin cocoons/gable,mountain/hill/anything that resembles a mountain/CL:座[zuò]/bundled straw in which silkworms spin cocoons/gable
岑,岑,岑,岑,Cen2,Cén,surname Cen,surname Cen
岑,岑,岑,岑,cen2,cén,small hill,small hill
岩,岩,岩,岩,yan2,yán,cliff/rock,cliff/rock
峨,峨,峨,峨,e2,é,lofty/name of a mountain,lofty/name of a mountain
峩,峨,峩,峨,e2,é,variant of 峨[e2],variant of 峨[é]
峻,峻,峻,峻,jun4,jùn,(of mountains) high/harsh or severe,(of mountains) high/harsh or severe
嵒,岩,嵒,岩,yan2,yán,variant of 巖|岩[yan2],variant of 巖|岩[yán]
嵗,岁,嵗,岁,sui4,suì,"variant of 歲|岁[sui4], year/years old","variant of 歲|岁[suì], year/years old"
嵯,嵯,嵯,嵯,cuo2,cuó,lofty (as of mountain),lofty (as of mountain)
巖,岩,巖,岩,yan2,yán,variant of 岩[yan2],variant of 岩[yán]
巗,岩,巗,岩,yan2,yán,variant of 巖|岩[yan2],variant of 巖|岩[yán]
巢,巢,巢,巢,Chao2,Cháo,surname Chao,surname Chao
巢,巢,巢,巢,chao2,cháo,nest,nest
差,差,差,差,cha1,chā,difference/discrepancy/to differ/error/to err/to make a mistake,difference/discrepancy/to differ/error/to err/to make a mistake
差,差,差,差,cha4,chà,to differ from/to fall short of/lacking/wrong/inferior/Taiwan pr. [cha1],to differ from/to fall short of/lacking/wrong/inferior/Taiwan pr. [chā]
差,差,差,差,chai1,chāi,to send/to commission/messenger/mission,to send/to commission/messenger/mission
己,己,己,己,ji3,jǐ,"self/oneself/sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/sixth in order/letter ""F"" or roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc/hexa","self/oneself/sixth of the ten Heavenly Stems 十天干[shí tiān gān]/sixth in order/letter ""F"" or roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc/hexa"
幃,帏,幃,帏,wei2,wéi,curtain/women's apartment/tent,curtain/women's apartment/tent
幑,徽,幑,徽,hui1,huī,old variant of 徽[hui1],old variant of 徽[huī]
平,平,平,平,Ping2,Píng,surname Ping,surname Ping
平,平,平,平,ping2,píng,flat/level/equal/to tie (make the same score)/to draw (score)/calm/peaceful/see also 平聲|平声[ping2 sheng1],flat/level/equal/to tie (make the same score)/to draw (score)/calm/peaceful/see also 平聲|平声[píng shēng]
年,年,年,年,Nian2,Nián,surname Nian,surname Nian
年,年,年,年,nian2,nián,year/CL:個|个[ge4],year/CL:個|个[gè]
幽,幽,幽,幽,you1,yōu,remote/hidden away/secluded/serene/peaceful/to imprison/in superstition indicates the underworld/ancient district spanning Liaonang and Hebei provinces,remote/hidden away/secluded/serene/peaceful/to imprison/in superstition indicates the underworld/ancient district spanning Liaonang and Hebei provinces
庭,庭,庭,庭,ting2,tíng,main hall/front courtyard/law court,main hall/front courtyard/law court
廊,廊,廊,廊,lang2,láng,corridor/veranda/porch,corridor/veranda/porch
廢,废,廢,废,fei4,fèi,to abolish/to abandon/to abrogate/to discard/to depose/to oust/crippled/abandoned/waste,to abolish/to abandon/to abrogate/to discard/to depose/to oust/crippled/abandoned/waste
廣,广,廣,广,Guang3,Guǎng,surname Guang,surname Guang
廣,广,廣,广,guang3,guǎng,wide/numerous/to spread,wide/numerous/to spread
弦,弦,弦,弦,xian2,xián,bow string/string of musical instrument/watchspring/chord (segment of curve)/hypotenuse/CL:根[gen1],bow string/string of musical instrument/watchspring/chord (segment of curve)/hypotenuse/CL:根[gēn]
彆,别,彆,别,bie4,biè,"to make sb change their ways, opinions etc","to make sb change their ways, opinions etc"
形,形,形,形,xing2,xíng,to appear/to look/form/shape,to appear/to look/form/shape
彫,雕,彫,雕,diao1,diāo,"variant of 雕[diao1], to engrave","variant of 雕[diāo], to engrave"
往,往,往,往,wang3,wǎng,to go (in a direction)/to/towards/(of a train) bound for/past/previous,to go (in a direction)/to/towards/(of a train) bound for/past/previous
徃,往,徃,往,wang3,wǎng,old variant of 往[wang3],old variant of 往[wǎng]
後,后,後,后,hou4,hòu,back/behind/rear/afterwards/after/later,back/behind/rear/afterwards/after/later
從,从,從,从,Cong2,Cóng,surname Cong,surname Cong
從,从,從,从,cong2,cóng,from/through/via/to follow/to obey/to engage in (an activity)/never (in negative sentence)/(Taiwan pr. [zong4]) retainer/assistant/auxiliary/subordinate/related by common paternal grandfather or earlier ancestor,from/through/via/to follow/to obey/to engage in (an activity)/never (in negative sentence)/(Taiwan pr. [zòng]) retainer/assistant/auxiliary/subordinate/related by common paternal grandfather or earlier ancestor
微,微,微,微,Wei1,Wēi,surname Wei/ancient Chinese state near present day Chongqing/Taiwan pr. [Wei2],surname Wei/ancient Chinese state near present day Chongqing/Taiwan pr. [Wéi]
微,微,微,微,wei1,wēi,tiny/miniature/slightly/profound/abtruse/to decline/one millionth part of/micro-/Taiwan pr. [wei2],tiny/miniature/slightly/profound/abtruse/to decline/one millionth part of/micro-/Taiwan pr. [wéi]
徵,徵,徵,徵,zhi3,zhǐ,"4th note in pentatonic scale 五音[wu3 yin1], roughly sol/see also 徵|征[zheng1]","4th note in pentatonic scale 五音[wǔ yīn], roughly sol/see also 徵|征[zhēng]"
德,德,德,德,De2,Dé,Germany/German/abbr. for 德國|德国[De2 guo2],Germany/German/abbr. for 德國|德国[Dé guó]
德,德,德,德,de2,dé,virtue/goodness/morality/ethics/kindness/favor/character/kind,virtue/goodness/morality/ethics/kindness/favor/character/kind
徽,徽,徽,徽,hui1,huī,badge/emblem/insignia/crest/logo/coat of arms,badge/emblem/insignia/crest/logo/coat of arms
心,心,心,心,xin1,xīn,"heart/mind/intention/center/core/CL:顆|颗[ke1],個|个[ge4]","heart/mind/intention/center/core/CL:顆|颗[kē],個|个[gè]"
必,必,必,必,bi4,bì,certainly/must/will/necessarily,certainly/must/will/necessarily
志,志,志,志,zhi4,zhì,aspiration/ambition/the will,aspiration/ambition/the will
忠,忠,忠,忠,zhong1,zhōng,loyal/devoted/honest,loyal/devoted/honest
念,念,念,念,nian4,niàn,"to read/to study (a subject)/to attend (a school)/to read aloud/to miss (sb)/idea/remembrance/twenty (banker's anti-fraud numeral corresponding to 廿, 20)","to read/to study (a subject)/to attend (a school)/to read aloud/to miss (sb)/idea/remembrance/twenty (banker's anti-fraud numeral corresponding to 廿, 20)"
思,思,思,思,si1,sī,to think/to consider,to think/to consider
怨,怨,怨,怨,yuan4,yuàn,to blame/to complain,to blame/to complain
恃,恃,恃,恃,shi4,shì,to rely on/mother (formal),to rely on/mother (formal)
恣,恣,恣,恣,zi4,zì,to abandon restraint/to do as one pleases/comfortable (dialect),to abandon restraint/to do as one pleases/comfortable (dialect)
恨,恨,恨,恨,hen4,hèn,to hate/to regret,to hate/to regret
恭,恭,恭,恭,gong1,gōng,respectful,respectful
患,患,患,患,huan4,huàn,to suffer (from illness)/to contract (a disease)/misfortune/trouble/danger/worry,to suffer (from illness)/to contract (a disease)/misfortune/trouble/danger/worry
悲,悲,悲,悲,bei1,bēi,sad/sadness/sorrow/grief,sad/sadness/sorrow/grief
悳,德,悳,德,de2,dé,variant of 德[de2],variant of 德[dé]
悴,悴,悴,悴,cui4,cuì,haggard/sad/downcast/distressed,haggard/sad/downcast/distressed
悼,悼,悼,悼,dao4,dào,to mourn/to lament,to mourn/to lament
情,情,情,情,qing2,qíng,feeling/emotion/passion/situation,feeling/emotion/passion/situation
惑,惑,惑,惑,huo4,huò,to confuse/to be puzzled,to confuse/to be puzzled
惟,惟,惟,惟,wei2,wéi,-ism/only,-ism/only
惪,德,惪,德,de2,dé,variant of 德[de2],variant of 德[dé]
想,想,想,想,xiang3,xiǎng,to think/to believe/to suppose/to wish/to want/to miss (feel wistful about the absence of sb or sth),to think/to believe/to suppose/to wish/to want/to miss (feel wistful about the absence of sb or sth)
愁,愁,愁,愁,chou2,chóu,to worry about,to worry about
愆,愆,愆,愆,qian1,qiān,fault/transgression,fault/transgression
意,意,意,意,Yi4,Yì,Italy/Italian/abbr. for 意大利[Yi4 da4 li4],Italy/Italian/abbr. for 意大利[Yì dà lì]
意,意,意,意,yi4,yì,idea/meaning/thought/to think/wish/desire/intention/to expect/to anticipate,idea/meaning/thought/to think/wish/desire/intention/to expect/to anticipate
愚,愚,愚,愚,yu2,yú,to be stupid/to cheat or deceive/me or I (modest),to be stupid/to cheat or deceive/me or I (modest)
感,感,感,感,gan3,gǎn,to feel/to move/to touch/to affect/feeling/emotion/(suffix) sense of ~,to feel/to move/to touch/to affect/feeling/emotion/(suffix) sense of ~
慈,慈,慈,慈,ci2,cí,compassionate/gentle/merciful/kind/humane,compassionate/gentle/merciful/kind/humane
慎,慎,慎,慎,shen4,shèn,careful/cautious,careful/cautious
慕,慕,慕,慕,mu4,mù,to admire,to admire
慘,惨,慘,惨,can3,cǎn,miserable/wretched/cruel/inhuman/disastrous/tragic/dim/gloomy,miserable/wretched/cruel/inhuman/disastrous/tragic/dim/gloomy
慮,虑,慮,虑,lü4,lu:4,to think over/to consider/anxiety,to think over/to consider/anxiety
慼,戚,慼,戚,qi1,qī,variant of 戚[qi1]/grief/sorrow,variant of 戚[qī]/grief/sorrow
慽,戚,慽,戚,qi1,qī,variant of 慼|戚[qi1],variant of 慼|戚[qī]
憂,忧,憂,忧,you1,yōu,to worry/to concern oneself with/worried/anxiety/sorrow/(literary) to observe mourning,to worry/to concern oneself with/worried/anxiety/sorrow/(literary) to observe mourning
憤,愤,憤,愤,fen4,fèn,indignant/anger/resentment,indignant/anger/resentment
憫,悯,憫,悯,min3,mǐn,to sympathize/to pity/to feel compassion for,to sympathize/to pity/to feel compassion for
應,应,應,应,Ying4,Yìng,surname Ying,surname Ying
應,应,應,应,ying1,yīng,to agree (to do sth)/should/ought to/must/(legal) shall,to agree (to do sth)/should/ought to/must/(legal) shall
應,应,應,应,ying4,yìng,to answer/to respond/to comply with/to deal or cope with,to answer/to respond/to comply with/to deal or cope with
懷,怀,懷,怀,Huai2,Huái,surname Huai,surname Huai
懷,怀,懷,怀,huai2,huái,bosom/heart/mind/to think of/to harbor in one's mind/to conceive (a child),bosom/heart/mind/to think of/to harbor in one's mind/to conceive (a child)
懽,欢,懽,欢,huan1,huān,variant of 歡|欢[huan1],variant of 歡|欢[huān]
成,成,成,成,Cheng2,Chéng,surname Cheng,surname Cheng
成,成,成,成,cheng2,chéng,to succeed/to finish/to complete/to accomplish/to become/to turn into/to be all right/OK!/one tenth,to succeed/to finish/to complete/to accomplish/to become/to turn into/to be all right/OK!/one tenth
我,我,我,我,wo3,wǒ,I/me/my,I/me/my
戒,戒,戒,戒,jie4,jiè,to guard against/to exhort/to admonish or warn/to give up or stop doing sth/Buddhist monastic discipline/ring (for a finger),to guard against/to exhort/to admonish or warn/to give up or stop doing sth/Buddhist monastic discipline/ring (for a finger)
戚,戚,戚,戚,Qi1,Qī,surname Qi,surname Qi
戚,戚,戚,戚,qi1,qī,relative/parent/grief/sorrow/battle-axe,relative/parent/grief/sorrow/battle-axe
房,房,房,房,Fang2,Fáng,surname Fang,surname Fang
房,房,房,房,fang2,fáng,house/room/CL:間|间[jian1]/branch of an extended family/classifier for family members (or concubines),house/room/CL:間|间[jiān]/branch of an extended family/classifier for family members (or concubines)
所,所,所,所,suo3,suǒ,"actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive/CL:個|个[ge4]","actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive/CL:個|个[gè]"
持,持,持,持,chi2,chí,to hold/to grasp/to support/to maintain/to persevere/to manage/to run (i.e. administer)/to control,to hold/to grasp/to support/to maintain/to persevere/to manage/to run (i.e. administer)/to control
採,采,採,采,cai3,cǎi,to pick/to pluck/to collect/to select/to choose/to gather,to pick/to pluck/to collect/to select/to choose/to gather
推,推,推,推,tui1,tuī,to push/to cut/to refuse/to reject/to decline/to shirk (responsibility)/to put off/to delay/to push forward/to nominate/to elect/massage,to push/to cut/to refuse/to reject/to decline/to shirk (responsibility)/to put off/to delay/to push forward/to nominate/to elect/massage
揚,扬,揚,扬,Yang2,Yáng,abbr. for 揚州|扬州[Yang2 zhou1]/surname Yang,abbr. for 揚州|扬州[Yáng zhōu]/surname Yang
揚,扬,揚,扬,yang2,yáng,to raise/to hoist/the action of tossing or winnowing/scattering (in the wind)/to flutter/to propagate,to raise/to hoist/the action of tossing or winnowing/scattering (in the wind)/to flutter/to propagate
摧,摧,摧,摧,cui1,cuī,to break/to destroy/to devastate/to ravage/to repress,to break/to destroy/to devastate/to ravage/to repress
改,改,改,改,gai3,gǎi,to change/to alter/to transform/to correct,to change/to alter/to transform/to correct
故,故,故,故,gu4,gù,"happening/instance/reason/cause/intentional/former/old/friend/therefore/hence/(of people) to die, dead","happening/instance/reason/cause/intentional/former/old/friend/therefore/hence/(of people) to die, dead"
散,散,散,散,san3,sǎn,scattered/loose/to come loose/to fall apart/leisurely/powdered medicine,scattered/loose/to come loose/to fall apart/leisurely/powdered medicine
散,散,散,散,san4,sàn,to scatter/to break up (a meeting etc)/to disperse/to disseminate/to dispel/(coll.) to sack,to scatter/to break up (a meeting etc)/to disperse/to disseminate/to dispel/(coll.) to sack
敦,敦,敦,敦,dun1,dūn,kindhearted/place name,kindhearted/place name
敬,敬,敬,敬,jing4,jìng,to respect/to venerate/to salute/to offer,to respect/to venerate/to salute/to offer
敭,扬,敭,扬,yang2,yáng,variant of 揚|扬[yang2],variant of 揚|扬[yáng]
文,文,文,文,Wen2,Wén,surname Wen,surname Wen
文,文,文,文,wen2,wén,language/culture/writing/formal/literary/gentle/(old) classifier for coins/Kangxi radical 67,language/culture/writing/formal/literary/gentle/(old) classifier for coins/Kangxi radical 67
新,新,新,新,Xin1,Xīn,abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]/surname Xin,abbr. for Xinjiang 新疆[Xīn jiāng] or Singapore 新加坡[Xīn jiā pō]/surname Xin
新,新,新,新,xin1,xīn,new/newly/meso- (chemistry),new/newly/meso- (chemistry)
方,方,方,方,Fang1,Fāng,surname Fang,surname Fang
方,方,方,方,fang1,fāng,"square/power or involution (mathematics)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter","square/power or involution (mathematics)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter"
施,施,施,施,Shi1,Shī,surname Shi,surname Shi
施,施,施,施,shi1,shī,to grant/to give/to bestow/to act/to carry out,to grant/to give/to bestow/to act/to carry out
旌,旌,旌,旌,jing1,jīng,banner/make manifest,banner/make manifest
旤,祸,旤,祸,huo4,huò,old variant of 禍|祸[huo4],old variant of 禍|祸[huò]
日,日,日,日,Ri4,Rì,"abbr. for 日本[Ri4 ben3], Japan","abbr. for 日本[Rì běn], Japan"
日,日,日,日,ri4,rì,"sun/day/date, day of the month","sun/day/date, day of the month"
旹,时,旹,时,shi2,shí,old variant of 時|时[shi2],old variant of 時|时[shí]
旾,春,旾,春,chun1,chūn,old variant of 春[chun1],old variant of 春[chūn]
明,明,明,明,Ming2,Míng,"Ming Dynasty (1368-1644)/surname Ming/Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God","Ming Dynasty (1368-1644)/surname Ming/Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yán dì] descended from Shennong 神農|神农[Shén nóng] Farmer God"
明,明,明,明,ming2,míng,bright/opposite: dark 暗[an4]/(of meaning) clear/to understand/next/public or open/wise/generic term for a sacrifice to the gods,bright/opposite: dark 暗[àn]/(of meaning) clear/to understand/next/public or open/wise/generic term for a sacrifice to the gods
昚,慎,昚,慎,shen4,shèn,old variant of 慎[shen4],old variant of 慎[shèn]
春,春,春,春,Chun1,Chūn,surname Chun,surname Chun
春,春,春,春,chun1,chūn,spring (season)/gay/joyful/youthful/love/lust/life,spring (season)/gay/joyful/youthful/love/lust/life
昭,昭,昭,昭,zhao1,zhāo,bright/clear/manifest/to show clearly,bright/clear/manifest/to show clearly
是,是,是,是,shi4,shì,is/are/am/yes/to be,is/are/am/yes/to be
昰,是,昰,是,shi4,shì,variant of 是[shi4]/(used in given names),variant of 是[shì]/(used in given names)
昵,昵,昵,昵,ni4,nì,variant of 暱|昵[ni4],variant of 暱|昵[nì]
時,时,時,时,Shi2,Shí,surname Shi,surname Shi
時,时,時,时,shi2,shí,o'clock/time/when/hour/season/period,o'clock/time/when/hour/season/period
景,景,景,景,Jing3,Jǐng,surname Jing,surname Jing
景,景,景,景,jing3,jǐng,bright/circumstance/scenery,bright/circumstance/scenery
智,智,智,智,zhi4,zhì,wisdom/knowledge,wisdom/knowledge
暱,昵,暱,昵,ni4,nì,familiar/intimate/to approach,familiar/intimate/to approach
曜,曜,曜,曜,yao4,yào,bright/glorious/one of the seven planets of premodern astronomy,bright/glorious/one of the seven planets of premodern astronomy
曠,旷,曠,旷,kuang4,kuàng,to neglect/to skip (class or work)/to waste (time)/vast/loose-fitting,to neglect/to skip (class or work)/to waste (time)/vast/loose-fitting
曲,曲,曲,曲,Qu1,Qū,surname Qu,surname Qu
曲,曲,曲,曲,qu1,qū,bent/crooked/wrong,bent/crooked/wrong
曲,曲,曲,曲,qu3,qǔ,tune/song/CL:支[zhi1],tune/song/CL:支[zhī]
有,有,有,有,you3,yǒu,to have/there is/there are/to exist/to be,to have/there is/there are/to exist/to be
朗,朗,朗,朗,lang3,lǎng,clear/bright,clear/bright
望,望,望,望,wang4,wàng,full moon/to hope/to expect/to visit/to gaze (into the distance)/to look towards/towards,full moon/to hope/to expect/to visit/to gaze (into the distance)/to look towards/towards
朢,望,朢,望,wang4,wàng,15th day of month (lunar calendar)/old variant of 望[wang4],15th day of month (lunar calendar)/old variant of 望[wàng]
木,木,木,木,Mu4,Mù,surname Mu,surname Mu
木,木,木,木,mu4,mù,tree/wood/coffin/wooden/simple/numb/one of the eight ancient musical instruments 八音[ba1 yin1],tree/wood/coffin/wooden/simple/numb/one of the eight ancient musical instruments 八音[bā yīn]
未,未,未,未,wei4,wèi,"not yet/did not/have not/not/8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep/ancient Chinese compass point: 210°","not yet/did not/have not/not/8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep/ancient Chinese compass point: 210°"
杰,杰,杰,杰,jie2,jié,variant of 傑|杰[jie2],variant of 傑|杰[jié]
東,东,東,东,Dong1,Dōng,surname Dong,surname Dong
東,东,東,东,dong1,dōng,east/host (i.e. sitting on east side of guest)/landlord,east/host (i.e. sitting on east side of guest)/landlord
松,松,松,松,Song1,Sōng,surname Song,surname Song
松,松,松,松,song1,sōng,pine/CL:棵[ke1],pine/CL:棵[kē]
林,林,林,林,Lin2,Lín,surname Lin/Japanese surname Hayashi,surname Lin/Japanese surname Hayashi
林,林,林,林,lin2,lín,woods/forest/CL:片[pian4]/circle(s) (i.e. specific group of people)/a collection (of similar things),woods/forest/CL:片[piàn]/circle(s) (i.e. specific group of people)/a collection (of similar things)
柔,柔,柔,柔,rou2,róu,soft/flexible/supple/yielding/rho (Greek letter Ρρ),soft/flexible/supple/yielding/rho (Greek letter Ρρ)
